Manufacturer,Model,Price,Unit Sales,Country of Sale,Year Resale Value,Retention %,Engine Size,Horsepower,Wheelbase,Width,Length,Curb Weight,Fuel Capacity,Fuel Efficiency,Latest Launch,Power Perf Factor,,,,,,,
Acura,Integra,"$21,500",16919,USA,"$16,360",76%,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2/2/2012,58.28014952,,,,,,,
Acura,TL,"$28,400",39384,USA,"$19,875",70%,3.2,225,108.1,70.3,192.9,3.517,17.2,25,6/3/2011,91.37077766,,,,,,,
Acura,RL,"$42,000",8588,NORWAY,"$29,725",71%,3.5,210,114.6,71.4,196.6,3.85,18,22,3/10/2011,91.38977933,,,,,,,
Audi,A4,"$23,990",20397,NORWAY,"$22,255",93%,1.8,150,102.6,68.2,178,2.998,16.4,27,10/8/2011,62.7776392,,,,,,,
Audi,A6,"$33,950",18780,DENMARK,"$23,555",69%,2.8,200,108.7,76.1,192,3.561,18.5,22,8/9/2011,84.56510502,,,,,,,
Audi,A8,"$62,000",1380,DENMARK,"$39,000",63%,4.2,310,113,74,198.2,3.902,23.7,21,2/27/2012,134.6568582,,,,,,,
BMW,323i,"$26,990",19747,ITALY,"$24,500",91%,2.5,170,107.3,68.4,176,3.179,16.6,26,6/28/2011,71.19120671,,,,,,,
BMW,328i,"$33,400",9231,ITALY,"$28,675",86%,2.8,193,107.3,68.5,176,3.197,16.6,24,1/29/2012,81.87706856,,,,,,,
BMW,528i,"$38,900",17527,USA,"$36,125",93%,2.8,193,111.4,70.9,188,3.472,18.5,25,4/4/2011,83.9987238,,,,,,,
Buick,Century,"$21,975",91561,SWEDEN,"$12,475",57%,3.1,175,109,72.7,194.6,3.368,17.5,25,11/2/2011,71.18145132,,,,,,,
Buick,Regal,"$25,300",39350,USA,"$13,740",54%,3.8,240,109,72.7,196.2,3.543,17.5,23,9/3/2011,95.63670253,,,,,,,
Buick,Park Avenue,"$31,965",27851,SINGAPORE,"$20,190",63%,3.8,205,113.8,74.7,206.8,3.778,18.5,24,3/23/2012,85.82840825,,,,,,,
Buick,LeSabre,"$27,885",83257,AUSTRIA,"$13,360",48%,3.8,205,112.2,73.5,200,3.591,17.5,25,7/23/2011,84.25452581,,,,,,,
Cadillac,DeVille,"$39,895",63729,AUSTRIA,"$22,525",56%,4.6,275,115.3,74.5,207.2,3.978,18.5,22,2/23/2012,113.8545976,,,,,,,
Cadillac,Seville,"$44,475",15943,AUSTRIA,"$27,100",61%,4.6,275,112.2,75,201,3.875,18.5,22,4/29/2011,115.6213578,,,,,,,
Cadillac,Eldorado,"$39,665",6536,FRANCE,"$25,725",65%,4.6,275,108,75.5,200.6,3.843,19,22,11/27/2011,113.7658739,,,,,,,
Cadillac,Catera,"$31,010",11185,AUSTRALIA,"$18,225",59%,3,200,107.4,70.3,194.8,3.77,18,22,9/28/2011,83.48309358,,,,,,,
Cadillac,Escalade,"$46,225",14785,SPAIN,"$31,245",68%,5.7,255,117.5,77,201.2,5.572,30,15,4/17/2012,109.5091165,,,,,,,
Chevrolet,Cavalier,"$13,260",145519,SPAIN,"$9,250",70%,2.2,115,104.1,67.9,180.9,2.676,14.3,27,8/17/2011,46.36334747,,,,,,,
Chevrolet,Malibu,"$16,535",135126,SPAIN,"$11,225",68%,3.1,170,107,69.4,190.4,3.051,15,25,3/19/2012,67.31446216,,,,,,,
Chevrolet,Lumina,"$18,890",24629,UK,"$10,310",55%,3.1,175,107.5,72.5,200.9,3.33,16.6,25,5/24/2011,69.9913956,,,,,,,
Chevrolet,Monte Carlo,"$19,390",42593,USA,"$11,525",59%,3.4,180,110.5,72.7,197.9,3.34,17,27,12/22/2011,72.03091719,,,,,,,
Chevrolet,Camaro,"$24,340",26402,USA,"$13,025",54%,3.8,200,101.1,74.1,193.2,3.5,16.8,25,10/23/2011,81.11854333,,,,,,,
Chevrolet,Corvette,"$55,705",17947,FRANCE,"$36,225",65%,5.7,345,104.5,73.6,179.7,3.21,19.1,22,5/12/2012,141.14115,,,,,,,
Chevrolet,Prizm,"$13,960",32299,AUSTRALIA,"$9,125",65%,1.8,120,97.1,66.7,174.3,2.398,13.2,33,9/11/2011,48.2976361,,,,,,,
Chevrolet,Metro,"$9,235",21855,AUSTRALIA,"$5,160",56%,1,55,93.1,62.6,149.4,1.895,10.3,45,4/13/2012,23.27627233,,,,,,,
Chevrolet,Impala,"$18,890",107995,USA,"$11,550",61%,3.4,180,110.5,73,200,3.389,17,27,6/18/2011,71.83803944,,,,,,,
Chrysler,Sebring Coupe,"$19,840",7854,USA,"$12,360",62%,2.5,163,103.7,69.7,190.9,2.967,15.9,24,1/16/2012,65.95718396,,,,,,,
Chrysler,Sebring Conv.,"$24,495",32775,USA,"$14,180",58%,2.5,168,106,69.2,193,3.332,16,24,11/17/2011,69.52135505,,,,,,,
Chrysler,Concorde,"$22,245",31148,USA,"$13,725",62%,2.7,200,113,74.4,209.1,3.452,17,26,6/6/2012,80.02378204,,,,,,,
Chrysler,Cirrus,"$16,480",32306,USA,"$12,640",77%,2,132,108,71,186,2.911,16,27,10/6/2011,53.56619987,,,,,,,
Chrysler,LHS,"$28,340",13462,USA,"$17,325",61%,3.5,253,113,74.4,207.7,3.564,17,23,5/8/2012,101.3292807,,,,,,,
Chrysler,300M,"$29,185",30696,USA,"$18,425",63%,3.5,253,113,74.4,197.8,3.567,17,23,2/10/2012,101.6552441,,,,,,,
Dodge,Neon,"$12,640",76034,SINGAPORE,"$7,750",61%,2,132,105,74.4,174.4,2.567,12.5,29,12/12/2011,52.08489875,,,,,,,
Dodge,Avenger,"$19,045",4734,SPAIN,"$12,545",66%,2.5,163,103.7,69.1,190.2,2.879,15.9,24,7/1/2012,65.65050834,,,,,,,
Dodge,Stratus,"$20,230",71186,FINLAND,"$10,185",50%,2.5,168,108,71,186,3.058,16,24,10/31/2011,67.87610784,,,,,,,
